family;line;licenceFor;years;model;description;price
MR;Wireless;;;MR16-HW;Meraki MR16 Cloud Managed AP;649.00;
MR;Wireless;;;MR18-HW;Meraki MR18 Cloud Managed AP;649.00;
MR;Wireless;;;MR24-HW;Meraki MR24 Cloud Managed AP;1199.00;
MR;Wireless;;;MR26-HW;Meraki MR26 Cloud Managed AP;1099.00;
MR;Wireless;;;MR32-HW;Meraki MR32 Cloud Managed AP;799.00;
MR;Wireless;;;MR34-HW;Meraki MR34 Cloud Managed AP;1399.00;
MR;Wireless;;;MR72-HW;Meraki MR72 Cloud Managed AP;1599.00;
LIC;License;MR;1;LIC-ENT-1YR;Meraki MR Enterprise Cloud Controller License. 1 Year;150.00;
LIC;License;MR;3;LIC-ENT-3YR;Meraki MR Enterprise Cloud Controller License. 3 Years;300.00;
LIC;License;MR;5;LIC-ENT-5YR;Meraki MR Enterprise Cloud Controller License. 5 Years;450.00;
LIC;License;MR;7;LIC-ENT-7YR;Meraki MR Enterprise Cloud Controller License. 7 Years;630.00;
LIC;License;MR;10;LIC-ENT-10YR;Meraki MR Enterprise Cloud Controller License. 10 Years;900.00;
INJ;Accesory;;;MA-INJ-4-US;Meraki MR 802.3at PoE Injector (US Plug);149.00;
INJ;Accesory;;;MA-INJ-4-EU;Meraki MR 802.3at PoE Injector (EU Plug);149.00;
INJ;Accesory;;;MA-INJ-4-UK;Meraki MR 802.3at PoE Injector (UK Plug);149.00;
INJ;Accesory;;;MA-INJ-4-AU;Meraki MR 802.3at PoE Injector (AU Plug);149.00;
AC;Accesory;;;AC-MR-1-US;Meraki AC Adapter for MR Wireless Access Points (US Plug);29.00;
AC;Accesory;;;AC-MR-1-EU;Meraki AC Adapter for MR Wireless Access Points (EU Plug);29.00;
AC;Accesory;;;AC-MR-1-UK;Meraki AC Adapter for MR Wireless Access Points (UK Plug);29.00;
AC;Accesory;;;AC-MR-1-AU;Meraki AC Adapter for MR Wireless Access Points (AU Plug);29.00;
ANT;Antenna;;;ANT-10;Meraki 5/7 dBi. Dual Band Omni Antennas. N-type. Set of 2;99.00;
ANT;Antenna;;;ANT-11;Meraki 14dBi. 5 GHz Sector Antenna. MIMO. N-type;149.00;
ANT;Antenna;;;ANT-13;Meraki 11dBi. 2.4 GHz Sector Antenna. MIMO. N-type;149.00;
ANT;Antenna;;;MA-ANT-20;Meraki Dual-band Omni Antennas;199.00;
ANT;Antenna;;;MA-ANT-21;Meraki 5GHz Sector Antenna;349.00;
ANT;Antenna;;;MA-ANT-23;Meraki 2.4GHz Sector Antenna;349.00;
ANT;Antenna;;;MA-ANT-25;Meraki Dual Band Patch Antenna;349.00;
